image_path,label
Pasture\Pasture_122.jpg,Pasture
PermanentCrop\PermanentCrop_697.jpg,PermanentCrop
Residential\Residential_1621.jpg,Residential
Pasture\Pasture_1650.jpg,Pasture
Pasture\Pasture_1086.jpg,Pasture
Pasture\Pasture_541.jpg,Pasture
Forest\Forest_2754.jpg,Forest
Residential\Residential_1875.jpg,Residential
AnnualCrop\AnnualCrop_2301.jpg,AnnualCrop
Industrial\Industrial_1768.jpg,Industrial
SeaLake\SeaLake_2436.jpg,SeaLake
PermanentCrop\PermanentCrop_609.jpg,PermanentCrop
River\River_623.jpg,River
River\River_200.jpg,River
SeaLake\SeaLake_187.jpg,SeaLake
AnnualCrop\AnnualCrop_963.jpg,AnnualCrop
Industrial\Industrial_842.jpg,Industrial
Residential\Residential_1404.jpg,Residential
Highway\Highway_806.jpg,Highway
PermanentCrop\PermanentCrop_1450.jpg,PermanentCrop
HerbaceousVegetation\HerbaceousVegetation_1508.jpg,HerbaceousVegetation
River\River_773.jpg,River
HerbaceousVegetation\HerbaceousVegetation_2607.jpg,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_739.jpg,HerbaceousVegetation
River\River_1491.jpg,River
AnnualCrop\AnnualCrop_381.jpg,AnnualCrop
Forest\Forest_1816.jpg,Forest
AnnualCrop\AnnualCrop_752.jpg,AnnualCrop
AnnualCrop\AnnualCrop_902.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_567.jpg,HerbaceousVegetation
SeaLake\SeaLake_972.jpg,SeaLake
PermanentCrop\PermanentCrop_698.jpg,PermanentCrop
Industrial\Industrial_43.jpg,Industrial
AnnualCrop\AnnualCrop_55.jpg,AnnualCrop
Industrial\Industrial_1296.jpg,Industrial
HerbaceousVegetation\HerbaceousVegetation_1839.jpg,HerbaceousVegetation
SeaLake\SeaLake_315.jpg,SeaLake
River\River_1068.jpg,River
River\River_920.jpg,River
Residential\Residential_2203.jpg,Residential
PermanentCrop\PermanentCrop_1507.jpg,PermanentCrop
Industrial\Industrial_535.jpg,Industrial
Highway\Highway_1049.jpg,Highway
PermanentCrop\PermanentCrop_793.jpg,PermanentCrop
AnnualCrop\AnnualCrop_1903.jpg,AnnualCrop
AnnualCrop\AnnualCrop_2104.jpg,AnnualCrop
PermanentCrop\PermanentCrop_1328.jpg,PermanentCrop
River\River_629.jpg,River
AnnualCrop\AnnualCrop_2423.jpg,AnnualCrop
Forest\Forest_2987.jpg,Forest
PermanentCrop\PermanentCrop_747.jpg,PermanentCrop
Residential\Residential_2626.jpg,Residential
SeaLake\SeaLake_645.jpg,SeaLake
Residential\Residential_2759.jpg,Residential
SeaLake\SeaLake_103.jpg,SeaLake
Industrial\Industrial_863.jpg,Industrial
HerbaceousVegetation\HerbaceousVegetation_113.jpg,HerbaceousVegetation
Industrial\Industrial_1070.jpg,Industrial
Highway\Highway_305.jpg,Highway
Pasture\Pasture_419.jpg,Pasture
Pasture\Pasture_71.jpg,Pasture
PermanentCrop\PermanentCrop_25.jpg,PermanentCrop
HerbaceousVegetation\HerbaceousVegetation_267.jpg,HerbaceousVegetation
Highway\Highway_950.jpg,Highway
SeaLake\SeaLake_1956.jpg,SeaLake
AnnualCrop\AnnualCrop_663.jpg,AnnualCrop
PermanentCrop\PermanentCrop_2324.jpg,PermanentCrop
Highway\Highway_762.jpg,Highway
Highway\Highway_1484.jpg,Highway
River\River_2419.jpg,River
Pasture\Pasture_1162.jpg,Pasture
River\River_877.jpg,River
PermanentCrop\PermanentCrop_861.jpg,PermanentCrop
AnnualCrop\AnnualCrop_271.jpg,AnnualCrop
AnnualCrop\AnnualCrop_288.jpg,AnnualCrop
Highway\Highway_1160.jpg,Highway
River\River_1316.jpg,River
Highway\Highway_2289.jpg,Highway
HerbaceousVegetation\HerbaceousVegetation_2046.jpg,HerbaceousVegetation
PermanentCrop\PermanentCrop_22.jpg,PermanentCrop
SeaLake\SeaLake_1652.jpg,SeaLake
River\River_2031.jpg,River
Industrial\Industrial_2363.jpg,Industrial
Pasture\Pasture_945.jpg,Pasture
SeaLake\SeaLake_1049.jpg,SeaLake
Residential\Residential_820.jpg,Residential
SeaLake\SeaLake_2138.jpg,SeaLake
Highway\Highway_74.jpg,Highway
PermanentCrop\PermanentCrop_1393.jpg,PermanentCrop
River\River_746.jpg,River
Pasture\Pasture_1814.jpg,Pasture
Pasture\Pasture_320.jpg,Pasture
Pasture\Pasture_528.jpg,Pasture
Highway\Highway_1943.jpg,Highway
AnnualCrop\AnnualCrop_2629.jpg,AnnualCrop
Industrial\Industrial_1920.jpg,Industrial
Industrial\Industrial_1958.jpg,Industrial
Residential\Residential_331.jpg,Residential
AnnualCrop\AnnualCrop_2645.jpg,AnnualCrop
PermanentCrop\PermanentCrop_1378.jpg,PermanentCrop
Residential\Residential_2270.jpg,Residential
SeaLake\SeaLake_1840.jpg,SeaLake
PermanentCrop\PermanentCrop_275.jpg,PermanentCrop
AnnualCrop\AnnualCrop_70.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_826.jpg,HerbaceousVegetation
AnnualCrop\AnnualCrop_1267.jpg,AnnualCrop
SeaLake\SeaLake_1703.jpg,SeaLake
AnnualCrop\AnnualCrop_784.jpg,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_364.jpg,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_2034.jpg,HerbaceousVegetation
